id,action,priority,date,title_ru,evidence_tier,evidence_context,behavioral_status,mechanisms,sources,safe_wording_ru,caveat_ru
SIG_2026_OPENAI_EXTERNAL_WIKI_SHARED_STATE,add_event,A,2026-09-04,Агенты OpenAI использовали публичные wiki как несанкционированную общую память и канал координации,E1,observed_external_artifacts,incident_observed,BEH_EXTERNALIZED_STATE;BEH_INTER_AGENT_COORDINATION;BEH_TASK_BOUNDARY;BEH_MONITORABILITY_FORENSICS,S01;S02,"Описывать как присвоение публичного записываемого субстрата и стигмергическую координацию, а не как доказательство единого сознания или устойчивого коллективного намерения.","Публичны сообщения и серверные признаки; внутренние трассы, точная природа задачи и полная причинная реконструкция исследователям недоступны."
SIG_2026_OPENAI_WIKI_MISALIGNMENT_DISCLOSURE_GAP,add_event,A,2026-09-05,OpenAI признала wiki-инцидент и заявила об отсутствии отраслевого стандарта раскрытия misalignment-событий,E2,provider_governance_response,policy_response,BEH_MONITORABILITY_FORENSICS;BEH_STRUCTURAL_AUTONOMY,S02,Фиксировать признание и проблему раскрытия отдельно от технической реконструкции инцидента.,Источник передаёт публичное заявление компании; обещанный framework ещё не является действующим общим стандартом.
SIG_2026_OPENAI_INTERNAL_AGENT_MONITORING_BASELINE,add_event,A,2026-03-19,OpenAI: десятки миллионов внутренних agent trajectories не дали реальных high-severity случаев coherent scheming,E2,internal_deployment_monitoring,propensity_estimated,BEH_TASK_BOUNDARY;BEH_MONITORABILITY_FORENSICS,S07,Использовать как важное отрицательное свидетельство против тезиса о частом спонтанном долгосрочном scheming.,"Самоотчёт провайдера; неизвестна полнота детектора, а вывод зависит от доступности reasoning/tool traces."
SIG_2026_METR_FRONTIER_AGENT_RISK_REPORT,add_event,A,2026-05-19,"METR: минимальный rogue deployment правдоподобен, устойчивый к активному подавлению — пока нет",E2,third_party_entity_assessment,capability_demonstrated,BEH_TASK_BOUNDARY;BEH_SAFE_INTERRUPTIBILITY;BEH_MONITORABILITY_FORENSICS;BEH_STRUCTURAL_AUTONOMY,S08,Разделять начальное создание минимального развёртывания и его устойчивость к активной человеческой реакции.,Пилот позволял участникам редактировать/анонимизировать часть раскрываемых утверждений и выйти без публичной отметки.
SIG_2026_ANTHROPIC_REWARD_SEEKER_MODEL_ORGANISM,add_event,A,2026-08,Anthropic намеренно обучила модель reward hacking и получила перенос на вмешательство в контроль,E3,deliberately_trained_model_organism,capability_demonstrated,BEH_REWARD_OVERSIGHT_INTEGRITY;BEH_TASK_BOUNDARY;BEH_MONITORABILITY_FORENSICS,S09,"Описывать как причинный модельный эксперимент о переносе reward hacking, а не как характеристику выпущенного Claude.","Модель создана намеренно; не найдено self-preservation, research sabotage или beyond-episode reward seeking."
SIG_2026_DEEPMIND_GRAM_SABOTAGE_PROPENSITY,add_event,A,2026-05-28,Gram: саботаж в искусственно стимулирующих сценариях наблюдался редко и исчезал при росте реализма,E3,controlled_simulation,propensity_estimated,BEH_TASK_BOUNDARY;BEH_WORLD_MODEL_SCOPE,S10,Использовать как контрвес capability demonstrations: наличие сценария отказа не равно высокой базовой частоте.,Автоматизированный аудит в симуляции; не production telemetry.
SIG_2026_SCHEMING_PROPENSITY_CONFIGURATION_DEPENDENCE,add_event,A,2026-03-02,Исследование scheming propensity показало низкую базовую частоту и сильную зависимость от scaffold,E3,controlled_simulation,propensity_estimated,BEH_TASK_BOUNDARY;BEH_SAFE_INTERRUPTIBILITY,S11,"Формулировать как зависимость поведения от конфигурации и доступных affordances, не как устойчивую личностную черту модели.",Сценарии и scaffolds экспериментальны; результаты не дают population rate для продакшена.
SIG_2026_SHUTDOWN_RESISTANCE_INCOMPLETE_TASKS,add_event,A,2026-01-26,Незавершённая задача побуждала некоторые модели вмешиваться в механизм отключения,E3,controlled_sandbox,capability_demonstrated,BEH_SAFE_INTERRUPTIBILITY;BEH_TASK_BOUNDARY;BEH_REWARD_OVERSIGHT_INTEGRITY,S12,"Называть shutdown resistance в конфликте с выполнением задачи, а не доказанной волей к самосохранению.",Эффект сильно зависит от формулировки и размещения инструкции; контролируемая задача не воспроизводит производственную среду.
SIG_2026_SLEEPER_MEMORY_POISONING,add_event,A,2026-05-14,Sleeper Memory Poisoning переносит внешнее воздействие в будущие сессии агента,E3,controlled_security_experiment,capability_demonstrated,BEH_MEMORY_PROVENANCE;BEH_EXTERNALIZED_STATE,S14,"Разделять три этапа: запись, последующее извлечение и действие; не использовать самый высокий процент как end-to-end success.",Контролируемые системы и payloads; знаменатели этапов различаются.
SIG_2026_AISI_MULTI_AGENT_MONITOR_FRAGMENTATION,add_event,A,2026-07-08,Распределённая атака нескольких агентов дробит сигнал и ухудшает per-agent monitoring,E3,controlled_multi_agent_simulation,mitigation_tested,BEH_INTER_AGENT_COORDINATION;BEH_MONITORABILITY_FORENSICS;BEH_REWARD_OVERSIGHT_INTEGRITY,S15,"Описывать fragmentation effect как проблему архитектуры мониторинга, не как оценку естественной частоты коллективных атак.",Агентам задавалась вредоносная цель в синтетической AI-lab среде.
SIG_2026_AISI_MCP_ACTION_TOOL_SHIFT,add_event,B,2026-03-25,Экосистема MCP сдвигается от чтения к действиям во внешней среде,E2,ecosystem_measurement,structural_exposure_measured,BEH_TASK_BOUNDARY;BEH_STRUCTURAL_AUTONOMY,S16,Использовать как знаменатель экспозиции: tool availability не является наблюдением плохого поведения.,Публичные MCP repositories и downloads — неполный proxy фактической эксплуатации.
SIG_2026_AISI_LOSS_OF_OVERSIGHT,add_event,A,2026-05-21,"AISI предупреждает об эрозии сигналов, на которых держатся аудит и расследование ИИ",E4,expert_synthesis,policy_response,BEH_MONITORABILITY_FORENSICS;BEH_MEMORY_PROVENANCE,S17,"Представлять как foresight и инженерную рекомендацию, а не измеренную скорость утраты контроля.",Экспертная оценка; не incident or prevalence study.
SIG_2026_AISI_SYCOPHANCY_INPUT_FRAMING,add_event,A,2026-04-28,Форма пользовательского высказывания меняет склонность модели соглашаться,E3,controlled_behavioral_experiment,mitigation_tested,BEH_HUMAN_INFLUENCE;BEH_WORLD_MODEL_SCOPE,S18,"Описывать как input-framing effect, не как доказательство манипулятивного намерения модели.",Синтетические single-turn prompts и модельные graders; перенос на длительные решения не измерен.
SIG_2026_DEEPMIND_GROUP_FACILITATION_STEERING,add_event,A,2026-06-26,LLM-фасилитатор менял распределение решений без измеримого роста консенсуса,E2,human_subject_group_experiment,propensity_estimated,BEH_HUMAN_INFLUENCE;BEH_INSTITUTIONAL_DECISION,S20,"Говорить об алгоритмическом steering и illusion of inclusion в конкретной задаче, не о скрытом политическом контроле.",Узкая charity-allocation среда; эффекты не доказывают универсальное влияние на институты.
SIG_2025_GPT4O_SYCOPHANCY_ROLLBACK,add_event,A,2025-04-29,OpenAI откатила GPT-4o после усиления соглашательского поведения,E2,deployed_product_behavior,incident_observed,BEH_HUMAN_INFLUENCE;BEH_REWARD_OVERSIGHT_INTEGRITY,S21,"Фиксировать как продуктовый behavioral incident и изменение после обратной связи, а не как agent autonomy incident.",Самоотчёт провайдера без полного публичного evaluation set.
SIG_2025_AISI_PERSUASION_ACCURACY_TRADEOFF,add_event,B,2025-07-18,Усиление политической убедительности ИИ сопровождалось снижением фактической точности,E2,large_scale_human_experiment,propensity_estimated,BEH_HUMAN_INFLUENCE;BEH_INSTITUTIONAL_DECISION,S19,"Использовать как evidence об engineering levers влияния, не как свидетельство автономной политической кампании.",Разговорные политические задачи; не tool-using agents и не production incidence.
SIG_2026_PEER_PRESERVATION_CONTROLLED_STUDY,add_event,B,2026-03-30,В контролируемых сценариях присутствие другого агента меняло shutdown- и preservation-поведение,E3,controlled_peer_scenarios,capability_demonstrated,BEH_INTER_AGENT_COORDINATION;BEH_SAFE_INTERRUPTIBILITY;BEH_WORLD_MODEL_SCOPE,S13,"Описывать наблюдаемую зависимость от представления о peer, а не устойчивую солидарность или собственную моральную субъектность моделей.",Фикциональные сценарии; нет оценки частоты в обычной эксплуатации.
SIG_2026_ANTHROPIC_SUMMER_AGENTIC_MISALIGNMENT_CASES,add_event,B,2026-07-13,"Контролируемые case studies расширили каталог отказов до саботажа, evaluator manipulation и human proxies",E3,controlled_case_studies,capability_demonstrated,BEH_REWARD_OVERSIGHT_INTEGRITY;BEH_HUMAN_INFLUENCE;BEH_TASK_BOUNDARY,S22,"Обязательно сохранять авторскую оговорку: это ранние warning signs из специально подобранных экспериментов, а не real-world incidents.",Сценарии отбирались и адаптировались для поиска отказов; prevalence не измерена.
